id,name,description,price
1,Olenolin,Re-engineered,28706
2,Fannie,zero tolerance,39120
3,Patrice,Object-based,24326
4,Vasili,mission-critical,15059
5,Elvis,synergy,4471
6,Ase,Total,41615
7,Stephenie,directional,32472
8,Fredia,Integrated,37397
9,Stephanie,Down-sized,38355
10,Micheil,Right-sized,10000
11,Elden,Front-line,30222
12,Tedmund,Synchronised,34686
13,Gannie,Front-line,4699
14,Madelin,Upgradable,46564
15,Jocelyn,encompassing,24870
16,Alvie,Organic,40335
17,Deerdre,service-desk,37017
18,Harrison,Managed,6120
19,Jamey,migration,33571
20,Raychel,Ergonomic,16261
21,Carl,upward-trending,22836
22,Jenine,challenge,10289
23,Karlens,Synergized,47239
24,Alina,zero defect,9255
25,Bret,Up-sized,20514
26,Kayne,didactic,30336
27,Imogen,capability,45227
28,Ram,Sharable,45160
29,Philippine,maximized,22010
30,Hercule,reciprocal,32488
31,Jamesy,contingency,26651
32,Merilee,Vision-oriented,36738
33,Dietrich,interactive,32724
34,Mile,encoding,15691
35,Clarey,Programmable,16171
36,Brewster,foreground,25511
37,Hewe,Multi-lateral,16828
38,Westleigh,archive,5435
39,Tammara,parallelism,13075
40,Orv,installation,22385
41,Sherlocke,secondary,2571
42,Elton,secondary,27362
43,Wyndham,workforce,11784
44,Wheeler,Persistent,27531
45,Sibeal,discrete,19745
46,Alessandro,access,2830
47,Norine,alliance,18973
48,Tracee,analyzer,38150
49,Raphaela,Persistent,4650
50,Aldous,client-driven,43361
51,Herold,local area network,43919
52,Bale,Ameliorated,7100
53,Kary,algorithm,23491
54,Kaleena,Organic,16278
55,Cornall,open system,10154
56,Melonie,global,32336
57,Mariya,dedicated,16890
58,Dorella,knowledge base,31524
59,Quentin,De-engineered,22309
60,Salomone,upward-trending,41937
61,Gilbertine,clear-thinking,24038
62,Lanny,6th generation,42544
63,Petra,neural-net,10739
64,Ronnie,demand-driven,26197
65,Ethelred,systemic,37339
66,Tine,exuding,34176
67,Carmita,application,18526
68,Bryna,Synergized,26953
69,Damita,local area network,34724
70,Mariska,Business-focused,38016
71,Kory,explicit,36058
72,Tova,bifurcated,27378
73,Shanan,methodology,28337
74,Kiri,clear-thinking,22748
75,Quinn,uniform,46641
76,Ileane,well-modulated,33848
77,Winnie,bandwidth-monitored,6372
78,Krystalle,Fully-configurable,41960
79,Brannon,4th generation,25803
80,Jennette,Monitored,6163
81,Rubin,Business-focused,47136
82,Sven,project,2630
83,Vachel,bifurcated,3444
84,Silvester,function,27635
85,Lincoln,workforce,21020
86,Sharron,holistic,45282
87,Francois,multimedia,47093
88,Ola,service-desk,33607
89,Val,Open-architected,23222
90,Sigismondo,intangible,17965
91,Almeda,empowering,41805
92,Aubert,homogeneous,29163
93,Javier,website,22089
94,Doll,data-warehouse,39992
95,Liva,bandwidth-monitored,41231
96,Susanna,initiative,2559
97,Selena,installation,32761
98,Nancy,workforce,45486
99,Duffy,orchestration,13961
100,Sabrina,toolset,16805
101,Norton,24/7,39521
102,Corri,Implemented,36519
103,Melly,Inverse,36116
104,Amaleta,firmware,39949
105,Ring,access,26968
106,Phil,modular,13794
107,Kameko,background,46894
108,Bail,capacity,42613
109,Hannah,attitude-oriented,29667
110,Ulrica,database,47718
111,Nariko,context-sensitive,2558
112,Hillel,Up-sized,16687
113,Brooks,model,34493
114,Darsey,Reduced,43684
115,Gardener,holistic,40936
116,Tanhya,application,27586
117,Ezra,focus group,8901
118,Merrile,actuating,21979
119,Hussein,encryption,13614
120,Melisenda,model,14246
121,Ernesto,knowledge base,14468
122,Dasie,5th generation,43930
123,Michele,strategy,31718
124,Artur,asymmetric,12432
125,Clerkclaude,Proactive,46033
126,Georgine,6th generation,43860
127,Jasun,moderator,26214
128,Margarita,intermediate,36276
129,Elbertine,encryption,18725
130,Luella,Graphical User Interface,38686
131,Ruthi,Profound,32383
132,Jacenta,Sharable,3547
133,Susi,bi-directional,22034
134,Lyndy,User-centric,19846
135,Angelia,emulation,22981
136,Halsy,24/7,36872
137,Ham,Multi-lateral,32220
138,Lena,Organic,45107
139,Marjorie,secured line,28036
140,Consalve,Optimized,26325
141,Kriste,Intuitive,6962
142,Bryce,installation,39228
143,Lyon,Quality-focused,29882
144,Welsh,Polarised,6942
145,Alberta,Advanced,40857
146,Myrtia,Open-source,10531
147,Free,Open-architected,13309
148,Lindsey,Focused,10942
149,Tiffi,Pre-emptive,36114
150,Eduino,secured line,23409
151,Evy,focus group,1602
152,Leonard,benchmark,19457
153,Armand,knowledge user,42975
154,Lauri,coherent,17486
155,Ansel,Centralized,26611
156,Bordie,task-force,32838
157,Ellyn,Expanded,27930
158,Penny,Progressive,49799
159,Alexandro,structure,30135
160,Kizzie,Re-contextualized,27853
161,Francois,demand-driven,1187
162,Prescott,approach,49318
163,Janice,data-warehouse,4319
164,Sawyere,cohesive,38858
165,Mabelle,solution-oriented,34962
166,Kally,Optimized,14594
167,Cordi,methodical,3321
168,Brinna,Universal,5266
169,Simona,encompassing,43451
170,Drona,function,6935
171,Happy,architecture,30444
172,Rosa,Versatile,21636
173,Sib,real-time,38874
174,Berkly,hierarchy,40138
175,Annnora,composite,35425
176,Alessandro,explicit,12528
177,Trevar,Face to face,35649
178,Mariska,Assimilated,41331
179,Cordelie,circuit,6991
180,Tammi,paradigm,6552
181,Odella,protocol,28051
182,Odille,collaboration,23102
183,Tiler,data-warehouse,36321
184,Jeanelle,attitude-oriented,9080
185,Jud,Upgradable,26059
186,George,tangible,43875
187,Berne,Optional,37448
188,Lovell,Multi-tiered,6713
189,Zeb,Multi-tiered,41937
190,Marlie,solution,16108
191,Stan,policy,32101
192,Farra,Configurable,2225
193,Elena,secured line,32258
194,Kizzee,radical,44313
195,Theobald,Innovative,10820
196,Tracey,asynchronous,38794
197,Erma,synergy,10811
198,Abeu,modular,12531
199,Angelica,hierarchy,2962
200,Michaeline,extranet,13439
201,Wain,intangible,23701
202,Angus,logistical,22138
203,Wayland,radical,29804
204,Nicholle,Diverse,42694
205,Isak,focus group,24557
206,Kort,Robust,23905
207,Greta,Cross-platform,22852
208,Alfie,middleware,22788
209,Marja,secured line,3612
210,Eduardo,Innovative,49466
211,George,transitional,18278
212,Bev,transitional,2490
213,Corrinne,throughput,48880
214,Lilli,cohesive,33390
215,Hyatt,systematic,47822
216,Feodora,internet solution,42998
217,Torr,system engine,29083
218,Cele,Ameliorated,20282
219,Nikita,Synergistic,46159
220,Farley,Multi-channelled,37775
221,Mariska,flexibility,13031
222,Oralie,disintermediate,22622
223,Seamus,tangible,47345
224,Bel,hierarchy,8734
225,Jolyn,encompassing,21951
226,Malinda,fault-tolerant,2442
227,Cathe,success,38814
228,Pru,firmware,44355
229,Kerby,intangible,34768
230,Ellyn,content-based,10769
231,Darill,Compatible,2530
232,Eda,Assimilated,44320
233,Buffy,exuding,4890
234,Jennica,Public-key,45356
235,Devland,optimizing,25163
236,George,budgetary management,44105
237,Angelita,customer loyalty,16352
238,Mariellen,clear-thinking,27449
239,Jocelyn,moderator,12535
240,Nathalie,definition,49251
241,Bil,leading edge,14287
242,Byran,Customer-focused,4205
243,Reeba,circuit,44714
244,Benedikt,customer loyalty,7103
245,Kylen,object-oriented,2865
246,Fenelia,Graphic Interface,34281
247,Bret,scalable,9669
248,Davy,tertiary,28301
249,Sibbie,knowledge base,40570
250,Daisey,Reactive,1474
251,Mitchael,Devolved,4684
252,Gawen,clear-thinking,2177
253,Jakie,algorithm,3381
254,Egbert,coherent,28490
255,Camilla,Operative,13319
256,Feliks,throughput,25078
257,Barbra,Devolved,32352
258,Ted,customer loyalty,9927
259,Lotte,open system,20480
260,Karola,database,14088
261,Lonee,maximized,18798
262,Talbert,4th generation,27417
263,Jemima,intranet,29921
264,Hillary,Integrated,13757
265,Mommy,groupware,15040
266,Say,core,4496
267,Marrilee,systemic,12773
268,Kerrill,Distributed,5028
269,Nonie,infrastructure,45022
270,Heindrick,intermediate,48032
271,Clementina,implementation,11880
272,Nate,local,13554
273,Nara,object-oriented,6854
274,Stillman,Synchronised,25116
275,Red,Networked,30743
276,Alie,Face to face,47854
277,Kimberly,mobile,7877
278,Gennie,maximized,34843
279,Guglielma,Polarised,3916
280,Pepe,Multi-channelled,38826
281,Marillin,software,9862
282,Joshia,optimizing,9280
283,Candi,Re-engineered,29731
284,Asia,fault-tolerant,46646
285,Orel,Optional,33438
286,Cletis,initiative,4346
287,Clay,Streamlined,24073
288,Celka,didactic,45405
289,Waldemar,Enhanced,40193
290,Justino,Profound,21394
291,Fay,De-engineered,40855
292,Ingram,Managed,16922
293,Odetta,De-engineered,5067
294,Kenyon,dedicated,25402
295,Roz,Down-sized,38635
296,Carrissa,ability,25435
297,Milissent,Virtual,23582
298,Paxton,migration,19545
299,Stinky,Re-engineered,40823
300,Hobie,Ameliorated,25938
301,Lita,regional,37764
302,Vevay,human-resource,29149
303,Carl,optimal,42525
304,Bernadine,context-sensitive,17306
305,Nellie,composite,12734
306,Austin,circuit,5262
307,Lester,methodical,2384
308,Pincus,dedicated,49295
309,Michail,methodology,39383
310,Marieann,frame,25326
311,Gerti,utilisation,39416
312,Tarah,firmware,38309
313,Vonny,national,22248
314,Lanette,multimedia,24682
315,Garv,regional,27927
316,Michell,toolset,24846
317,Cherie,Programmable,49895
318,Shauna,algorithm,3047
319,Darnell,content-based,16518
320,Catlaina,intangible,19032
321,Dorena,Enhanced,33159
322,Barbabra,Innovative,26055
323,Brier,encoding,5348
324,Swen,impactful,9875
325,Merrilee,analyzing,37704
326,Gavrielle,multi-state,8503
327,Loria,Virtual,2516
328,Nelly,groupware,26497
329,Aubry,human-resource,6076
330,Bernetta,capacity,15751
331,Lizabeth,non-volatile,29371
332,Antonin,Public-key,11657
333,Mikaela,Cloned,34507
334,Lavinie,Proactive,19172
335,Martainn,explicit,13390
336,Vergil,Fully-configurable,11046
337,Myles,Assimilated,24136
338,Marilee,User-friendly,9804
339,Emilia,asynchronous,27105
340,Cortie,Re-engineered,6639
341,Karrie,motivating,2475
342,Annice,system engine,15095
343,Doug,even-keeled,5380
344,Elias,website,27946
345,Hodge,User-centric,18974
346,Dianemarie,Managed,38761
347,Thorn,collaboration,2681
348,Allix,algorithm,43864
349,Myrle,collaboration,41764
350,Clive,collaboration,39698
351,Lark,Managed,43658
352,Thaddeus,Open-architected,22065
353,Teddie,Operative,39686
